"V1","V2","V3"
"ALLEMOND","1960","68"
"ALLEMOND","1961","96"
"ALLEMOND","1962","74.7"
"ALLEMOND","1963","58"
"ALLEMOND","1964","49.5"
"ALLEMOND","1965","71.4"
"ALLEMOND","1966","72"
"ALLEMOND","1967","65"
"ALLEMOND","1968","145.2"
"ALLEMOND","1969","68.6"
"ALLEMOND","1970","59.8"
"ALLEMOND","1971","83.5"
"ALLEMOND","1972","58.9"
"ALLEMOND","1973","95"
"ALLEMOND","1974","100.7"
"ALLEMOND","1975","76.7"
"ALLEMOND","1976","84.6"
"ALLEMOND","1977","65"
"ALLEMOND","1978","80"
"ALLEMOND","1979","96"
"ALLEMOND","1980","80"
"ALLEMOND","1981","75"
"ALLEMOND","1982","73"
"ALLEMOND","1983","114"
"ALLEMOND","1984","71"
"ALLEMOND","1985","58"
"ALLEMOND","1986","98"
"ALLEMOND","1987","57"
"ALLEMOND","1988","80"
"ALLEMOND","1989","57"
"ALLEMOND","1990","110"
"ALLEMOND","1991","65"
"ALLEMOND","1992","71"
"ALLEMOND","1993","76"
"ALLEMOND","1994","82"
"ALLEMOND","1995","63"
"ALLEMOND","1996","78"
"ALLEMOND","1997","80"
"ALLEMOND","1998","66.5"
"ALLEMOND","1999","60.5"
"ALLEMOND","2000","73"
"ALLEMOND","2001","98"
"ALLEMOND","2002","61"
"ALLEMOND","2003","66"
"ALLEMOND","2004","83.3"
"ALLEMOND","2005","79.3"
"ALLEMOND","2006","48"
"ALLEMOND","2007","56.7"
"ALLEMOND","2008","61.8"
"ALLEMOND","2009","67"
"ALLEMOND","2010","79.8"
"ALLEMOND","2011","73.9"
"ALLEMOND","2012","92.7"
"ALLEMOND","2013","75.1"
"ALLEMOND","2014","71.3"
"ALLEMOND","2015","105.1"
"ALLEMOND","2016","49.4"
"ALLEMOND","2017","119.2"
"ALLEMOND","2018","64"
"ALLEMOND","2019","67.4"
"ALLEMOND","2020","107.2"
"ALLEMOND","2021","66.5"
"ALLEMOND","2022","66.2"
"Le Rivier d Allemond","1950","-Inf"
"Le Rivier d Allemond","1951","-Inf"
"Le Rivier d Allemond","1952","-Inf"
"Le Rivier d Allemond","1953","-Inf"
"Le Rivier d Allemond","1954","-Inf"
"Le Rivier d Allemond","1955","-Inf"
"Le Rivier d Allemond","1956","-Inf"
"Le Rivier d Allemond","1957","-Inf"
"Le Rivier d Allemond","1958","-Inf"
"Le Rivier d Allemond","1959","-Inf"
"Le Rivier d Allemond","1960","-Inf"
"Le Rivier d Allemond","1961","-Inf"
"Le Rivier d Allemond","1962","-Inf"
"Le Rivier d Allemond","1963","-Inf"
"Le Rivier d Allemond","1964","-Inf"
"Le Rivier d Allemond","1965","-Inf"
"Le Rivier d Allemond","1966","-Inf"
"Le Rivier d Allemond","1967","-Inf"
"Le Rivier d Allemond","1968","-Inf"
"Le Rivier d Allemond","1969","-Inf"
"Le Rivier d Allemond","1970","-Inf"
"Le Rivier d Allemond","1971","-Inf"
